"GEO_ID","NAME","B25051_001E","B25051_001M","B25051_002E","B25051_002M","B25051_003E","B25051_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Complete kitchen facilities","Margin of Error!!Total:!!Complete kitchen facilities","Estimate!!Total:!!Lacking complete kitchen facilities","Margin of Error!!Total:!!Lacking complete kitchen facilities",
"0400000US12","Florida","9674053","581","9532267","8430","141786","8385",
"0500000US12001","Alachua County, Florida","120226","1068","117762","1541","2464","1043",
"0500000US12005","Bay County, Florida","104764","256","99420","1855","5344","1865",
"0500000US12009","Brevard County, Florida","282830","360","279476","1343","3354","1297",
"0500000US12011","Broward County, Florida","828571","844","821229","1980","7342","1900",
"0500000US12015","Charlotte County, Florida","107124","304","106295","555","829","452",
"0500000US12017","Citrus County, Florida","80902","406","79187","1066","1715","1033",
"0500000US12019","Clay County, Florida","82630","271","80260","1223","2370","1202",
"0500000US12021","Collier County, Florida","222289","636","219370","1477","2919","1322",
"0500000US12023","Columbia County, Florida","29285","393","27287","1092","1998","982",
"0500000US12031","Duval County, Florida","418735","1390","412643","2094","6092","1631",
"0500000US12033","Escambia County, Florida","143225","992","139549","1572","3676","1123",
"0500000US12035","Flagler County, Florida","53832","174","53502","440","330","408",
"0500000US12053","Hernando County, Florida","88713","725","87771","1011","942","615",
"0500000US12055","Highlands County, Florida","56119","507","54691","891","1428","667",
"0500000US12057","Hillsborough County, Florida","599503","848","590838","2082","8665","1884",
"0500000US12061","Indian River County, Florida","82262","239","80922","994","1340","940",
"0500000US12069","Lake County, Florida","163587","382","161792","960","1795","890",
"0500000US12071","Lee County, Florida","408569","1083","406063","1461","2506","1071",
"0500000US12073","Leon County, Florida","132780","1228","131521","1289","1259","633",
"0500000US12081","Manatee County, Florida","198824","368","197579","713","1245","650",
"0500000US12083","Marion County, Florida","173200","754","169576","1647","3624","1408",
"0500000US12085","Martin County, Florida","80779","508","79496","861","1283","661",
"0500000US12086","Miami-Dade County, Florida","1040743","1635","1027003","2731","13740","2140",
"0500000US12087","Monroe County, Florida","53896","630","52968","843","928","526",
"0500000US12089","Nassau County, Florida","41245","360","41165","380","80","136",
"0500000US12091","Okaloosa County, Florida","98624","419","96473","1205","2151","1132",
"0500000US12095","Orange County, Florida","556898","1390","551722","1991","5176","1611",
"0500000US12097","Osceola County, Florida","162677","163","160472","1013","2205","980",
"0500000US12099","Palm Beach County, Florida","693183","1179","685692","2017","7491","1545",
"0500000US12101","Pasco County, Florida","250659","372","248474","736","2185","653",
"0500000US12103","Pinellas County, Florida","511777","1174","497760","2830","14017","2469",
"0500000US12105","Polk County, Florida","304440","644","301557","1116","2883","898",
"0500000US12107","Putnam County, Florida","37599","258","37331","398","268","236",
"0500000US12109","St. Johns County, Florida","116381","457","115385","672","996","593",
"0500000US12111","St. Lucie County, Florida","146060","948","145537","996","523","336",
"0500000US12113","Santa Rosa County, Florida","74441","430","71930","1343","2511","1316",
"0500000US12115","Sarasota County, Florida","249428","631","246595","1179","2833","1135",
"0500000US12117","Seminole County, Florida","193938","492","191400","1250","2538","1093",
"0500000US12119","Sumter County, Florida","74248","1023","73538","1128","710","525",
"0500000US12127","Volusia County, Florida","264145","641","260147","1511","3998","1416",
"0500000US12131","Walton County, Florida","54815","191","53921","617","894","584",
